DE;EN
Anatomie Physiologie und Histologie;Anatomy, Physiology and Hystology
Hakenwurm;Ancylostoma
Anämie;Anemia
Anämie 1;Anemia 1
Anämie 2;Anemia 2
Anämie 3;Anemia 3
Vincent Angina Plaunt;Angina Vincenti-Plaut
Vaso Spasmus;Angio-Spasm
Angiospasmus;AngioSpasm
Tiere;Animals
Morbus Bechterew;Ankylosing Spondylitis
Reizbarkeit;Annoyance
Reizbarkeit 1;Annoyance 1
Reizbarkeit 2;Annoyance 2
Reizbarkeit 3;Annoyance 3
Fehlender Geruchsinn;Anosmia
Ameisenbisse;Ant Stings
Hypophysen-Vorderlappen;Anterior Pituitary Gland
Vorderlappe der Hypophyse;Anterior Pituitary Gland
Hypophysen Vorderlappen 1;Anterior Pituitary Gland 1
Anthracinus;Anthracinun
Anti-Angiospastic;Anti-Angiospastic
Entzündungshemmende Wirkung;Anti-Inflammatory Effect
Antischmerz;Anti-Pain
Antisklerotisch;Anti-sclerotic
Antidepressivum;Antidepressant
Antigicht;Antigout
Antimenorragiches;Antimenorrhagic
Antioxidant;Antioxidant
Parasitenabwehr Frequenzen;Antiparasitic
Antirheumatisch;Antirheumatic
Antiseptisch;Antiseptic
Antiseptische allgemein 1;Antiseptic-Common 1
Antiseptische allgemein 2;Antiseptic-Common 2
Antiseptische allgemein 3;Antiseptic-Common 3
Antiseptische allgemein 4;Antiseptic-Common 4
Antiserotonergic;Antiserotonergic
Krampflösende Wirkung;Antispastic Effect
Anti-Stress;Antistress
Antispastisch;Antitonic
Antiulcer;AntiUlcer
Anus-Darmausgang;Anus
Anus;Anus
Unruhe 1;Anxiety 1
Angst-Entspannung;Anxiety-Relaxation
Aorta;Aorta
Aorta 1;Aorta 1
Aortenaneurysma;Aortic Aneurysm
Aphonie;Aphonia
Aphthöse Stomatitis;Aphthous Stomatitis
Blinddarm;Appendix
Blinddarm 1;Appendix 1
Appetit;Appetite
Appetitregulation;Appetite Regulation
Appetitregulation;Appetite Regulation 1
Appetitkontrolle 1;Appetite Regulator 1
Nerven Hände;Arm Nerves
Hand-Finger;Arm, Finger
Handgelenk;Arm, Joint
Arnika;Arnica
Arrhythmie;Arrhythmia
Arsenits Album.;Arsenic Album.
Kunst/Art Zentrum;Art Centre
Zentrum Kunst;Art Centre 2
Kunst Zentrum;Art Centre 3
Arterielle Hypertonie;Arterial Hypertension
Arterielle Hypotonie;Arterial Hypotonia
Blockierung der Arterien;Arterial Thrombosis
Arterien;Arteries
Arterien 1;Arteries 1
Arteriolen;Arteriola
Arteriosklerose;ArterioSclerosis
Arteriosklerose 1;ArterioSclerosis 2
Arteriosklerose 2;ArterioSclerosis 2
Arterien Syndrom;Artery Syndrome
Arthritisch;Arthritic
Arthritis;Arthritis
Entzündung der Gelenke;Arthritis
Arthritis / Arthrose;Arthritis / Arthrosis
Arthritis / Arthrose;Arthritis /Arthrosis
Arthritis 1;Arthritis 1
Arthritis 2;Arthritis 2
Arthritis 3;Arthritis 3
Arthritis 4;Arthritis 4
Arthritis 5;Arthritis 5
Arthritis 6;Arthritis 6
Arthritis 7;Arthritis 7
Gelenksentzündung - Arthritis;Arthritis Treatment
Arthritis Basis;Arthritis-Basic
Arthritis Rheuma;Arthritis-Rheumatism
Arthrologie;Arthrology
Arthropathie des Kniegelenks;Arthropathy of Knee
Arthrose des Halses;Arthrosis
Arthrose;Arthrosis
Arthrose 1;Arthrosis 1
Sprunggelenk Arthrose;Arthrosis of the Ankle
Arthrose Nacken;Arthrosis-Occiput
Splüwurmer;Ascarididae
Asiatische Grippe A;Asian Influenza A
Schimmelpilzinfektion;Aspergillus
Asthma;Asthma
Asthma verursacht von Spülwürmer;Asthma caused by Ascariasis
Asthma durch Parasiten;Asthma Parasites
Asthmatische Bronchitis;Asthma-like Bronchitis
Asthmatische Bronchitis;Asthmatic Bronchitis
Asthmaanfall;Asthmatic Seizure
Hornhautverkrümmung;Astigmatism
Hornhautverkrümmung 1;Astigmatism 1
Atherom;Atheroma
Atherosklerose;AtheroSclerosis
Atherosklerose der Blutgefäße;AtheroSclerosis
Halswirbel-Atlas-Axis;Atlas-Axis
Atonische Lähmung;Atonic Paralysis
Atypisches Asthma;Atopic Asthma
Atopische Dermatitis;Atopic Dermatitis
Allergische Rhinosinusopathy;Atopic Rhinosinusopathy
Autoimmunkrankheit;Autoimmune Disease
Autoimmunkrankheiten;Autoimmune Disease
Autoimmun-Krankheit 1;Autoimmune Disease 1
Autotoxemia;Autointoxication
Autonomes Nervensystem;Autonomic Nervous System
Babelose;Babesia
Bakterielle Karbunkel;Bacillary Carbuncule
Batsillinum;Bacillinum
Tuberkelbazillus;Bacillus Kochii
Bacillus subtilis;Bacillus Subtil
Rückenmüdigkeit;Back Fatigue
Rückenmuskulatur;Back Muscles
Rückenschmerzen;Back Pain
Bakterien lactis;Bacteria Lactis
Bakterien;Bacterial Diseases
Bakterielle Ekzeme;Bacterial Eczema
Bakterielle Rippenfellentzündung;Bacterial Pleuritis
Bakteriose;Bacteriosis
Bakteriose 1;Bacteriosis 1
Bakteriose 2;Bacteriosis 2
Bäckerhefe;Bakers Yeast
Speiseröhre Barrett-Ösophagus;Barret's Esophagus
Basalganglien;Basal Ganglion
Basedow-Krankheit;Basedow's Disease
Adenovirus Grundprogramm;Basic AdenoVirus Programme
Bakterielle Infektion-Basis;Basic Bacterial Infection
Grundbasis Grippe;Basic Flu
Herpes Basis;Basic Herpes
Infektionen Basisprogramm;Basic Infection
Nematoden Basis;Basic Nematodes
Einfache Streptokokken;Basic Streptococcus
Allgemeine Tuberkulose;Basic Tuberculosis
Basidiomyceten;Basidiomycetes
Infektionen Basis Sekundär;Basisc Secondary Infection
BC G Impfstoff;BC G Vaccine
Bechterew Vorfall;Bekhterev's Disease
Benigne Prostatahyperplasie;Benign Prostatic Hyperplasia
Gutartige Tumor;Benign Tumour
Influenza Berlin;Berlin Influenza
Bermuda Flugbrand;Bermuda Smut
Zweistärken Sicht;Bifocal Vision
Galle;Bile
Galle 1;Bile 1
Gallenproduktion;Bile Production
Galleproduktion;Bile Production
Galle Regulierung 1;Bile Regulation 1
Galle Regulierung 2;Bile Regulation 1
Gallenzirrhose;Biliary Cirrhosis
Gallenwege;Biliary Tract
Galle;Bilirubin
Biologische Aufladung;Biological Exercise
Blase Harnröhre;Bladder, Urethra
Blastosphere;Blastocyst
Blastozysten 1;Blastocyst 1
Blastozysten;Blastocytes
Blastozysten 1;Blastocytes 1
Kreislauf;Bleeding
Liedrandentzündung;Blepharitis
Liedkrampf;BlepharoSpasm
Blasen an den Füßen;Blisters on Legs
Blasen an den Füßen 1;Blisters on Legs 1
Blasen an den Beinen 2;Blisters on Legs 2
Block Akupunkturpunkte;Block of Acupuncture Points
Nabelverletzung Meridiane;Blockage in Meridians due to Cicatrix
Blutkreislauf;Blood Circulation
Blutversorgung;Blood Circulation
Blutkreislauf 1;Blood Circulation 1
Kreislauf und Sauerstoff;Blood Circulation and Oxigen
Kreislauf-Komplex 1;Blood Circulation Complex 1
Kreislauf-Komplex 2;Blood Circulation Complex 2
Kreislaufstörungen;Blood Circulation Disorders
Blutkreislauf-Steuerfrequenz;Blood Circulation-Control Frequencies
Kreislauf-Steuerfrequenz;Blood Circulation-Control Frequencies
Blutgerinnungssystem;Blood Coagulation System
Blutkrankheiten;Blood Disorder
Kreislauf und Durchblutung;Blood Flow and Circulation
Blutversorgung mit Sauerstoff;Blood Flow and Oxygen Supply
Parasiten im Blut;Blood Parasites
Reinigung von Plasma;Blood Plasm Purification
Blutdruck;Blood Pressure
Blutdruck 1;Blood Pressure 1
Blutreinigung;Blood Purification
Zentrum Blutversorgung;Blood Supply Centre
Blutversorgungszentrum;Blood Supply Centre
Zentrum Blutversorgung 2;Blood Supply Centre 2
Zentrum Perfusion 3;Blood Supply Centre 3
Blutversorgung/Perfusionsdefizit 1;Blood Supply Deficiency 1
Blutversorgung/Perfusion defitsit2;Blood Supply Deficiency 2
Bluttemperatur;Blood Temperature
Bluttemperatur 1;Blood Temperature 1
Körper Abwehrkräfte;Body Defenses
Abwehrkräfte Teil 1;Body Defenses , Part 1
Abwehrkräfte 2;Body Defenses 2
Abwehrkräfte;Body Defenses 3
Abwehrkräfte;Body Defenses 4
Stärkung der körpereigenen Abwehrkräfte;Body Defenses Strengthening
Abwehrkräfte Teil 2;Body Defenses, Part 2
Wachstumsregulation;Body Height-Regulation
Körperwachstum-Regulierung;Body Height-Regulation
Wachstumsregulation 1;Body Height-Regulation 1
Wachstumsstimulation;Body Height-Stimulation
Wachstumsstimulation 1;Body Height-Stimulation 2
Schwächung des Organismus;Body Weakening
Schwächung des Körpers;Body Weakening
Geschwächter Organismus 1;Body Weakening-1
Stärkung der körpereigenen Abwehrkräfte 2;Body's Defenses Strengthening 2
Knochenzellen;Bone Cells
Knochenbruch Behandlung;Bone Fracture Treatment
Knochenmark;Bone Marrow
Knochenmark 1;Bone Marrow 1
Knochenmark-Stimulation;Bone Marrow Stimulation
Knochenregeneration;Bone Regeneration
Weicher Knochen 1;Bone Softening 1
Knochenstruktur;Bone Structure
Knochenstruktur 1;Bone Structure 1
Knochen Regenerierung;Bone Tissue Regeneration
Skelett-Knochen;Bony Skeleton
Verknöcherung 1;Bony Skeleton 1
Skelett 2;Bony Skeleton 2
Borreliose;Borreliosis
Beine Verkrümmung;Bowleg
Beine verkrümmt 1;Bowleg 1
Zentrum Altruismus 3;Brain Altruistic Centre 3
Gehirnerschütterung;Brain concussion
Gehirnerschütterung 2;Brain Concussion 2
Hirnkontusion;Brain Contusion
Hirnschäden;Brain Damage
Erkrankung des Gehirns;Brain Disorder
Gehirnentzündung;Brain Inflammation
Musik-Zentrum;Brain Music Centre
Sex Zentrum;Brain Pleasure Centre
Denk-Zentrum;Brain Thinking Centre
Hirntumor;Brain Tumor
Hirntumor 1;Brain Tumor 1
Kokken Infektion;Branhamella Catarhalis
Brust Adenom;Breast Adenoma
Brustpflege;Breast Care
Brustvergrößerung;Breast Enhancement
Muttermilchunverträglichkeit;Breast Milk Intolerance
Atem;Breathing
Atemzentrum;Breathing Centre
Atemzentrum 2;Breathing Centre 2
Atemzentrum 3;Breathing Centre 3
Atemzentrum 4;Breathing Centre 4
Bronchiales Asthma;Bronchial Asthma
Bronchialasthma 1;Bronchial Asthma1
Bronchialasthma 2;Bronchial Asthma2
Bronchialasthma 4;Bronchial Asthma4
Bronchialasthma 5;Bronchial Asthma5
Bronchialasthma 6;Bronchial Asthma6
Bronchialasthma 7;Bronchial Asthma7
Bronchialasthma 8;Bronchial Asthma8
Bronchitis;Bronchitis
Bronchitis 1;Bronchitis 1
Bronchitis 2;Bronchitis 2
Bronchitis 3;Bronchitis 3
Bronchitis 4;Bronchitis 4
Bronchitis 5;Bronchitis 5
Bronchitis 6;Bronchitis 6
Bronchopneumonie;Bronchopneumonia
Bronchopneumonie 1;Bronchopneumonia 1
Bronchospasmus;BronchoSpasm
Bronchopulmonales System;Bronchpulmonary System
Bronchien;Bronchus
Bronchien und Lunge;Bronchus and Lungs
Mittelmeerfieber;Brucella Melitensis
Brandwunde;Burn
Blasen von Verbrennungen;Burn Blisters
Blasen von Verbrennungen 1;Burn Blisters 1
Blasen von Verbrennungen 2;Burn Blisters 2
Blasen von der Verbrennung 3;Burn Blisters 3
Schleimbeutelentzündung;Bursitis
Schleimbeutelentzündung 1;Bursitis 1
Schleimbeutel Schmerz;Bursitis Pain
Schwund;Cachexy
Erschöpfung 1;Cachexy 1
Fersensporn;Calcaneal Spur
Kalziumablagerung;Calcipexy
Calcium-Mangel;Calcium Insufficiency
Kalziummangel;Calcium Insufficiency
Calcium Mangel 1;Calcium Insufficiency 1
Calcium / Phosphor;Calcium/ Phosphorus
Entfernung von Zahnstein;Calculus Removal
Schwielen;Callus
Schwielen;Calluses
Harnröhrenkanal;Canal, Urethra
Krebs;Cancer
Krebsschmerzen;Cancer Pain
Candida;Candida
Candida Ablikans;Candida Albicans
Candida Albicans 1;Candida Albicans 1
Candida mit Helminthen;Candida and Helminth
Candida mit Parasiten;Candida and Parasites
Candidia-Krebs;Candidiasis-Cancer
Hunde-Parvovirus;Canine Parvo-Virus
Hunde-Parvovirus B;Canine Parvo-Virus B
Hunde-Parvovirus M;Canine Parvo-Virus M
Kapillaren;Capillaries
Kapillaren 1;Capillaries 1
Kapillaren 2;Capillaries 2
Carbo animalis;Carbo Animalis
Karbunkel;Carbuncule
Krebserregende Faktoren;Carcinogen
Angina;Cardiac Angina
Herz Angina;Cardiac Angina 2
Herz Angina Steuerfrequenz 1;Cardiac Angina cf 1
Herz Angina Steuerfrequenz 2;Cardiac Angina cf 2
Kardiologische Leitungsstörung;Cardiac Conduction Disorder
Kardiale Ödemie;Cardiac Edema
Herzinsuffizienz;Cardiac Insufficiency
Herzneurose;Cardiac Neurosis
Herz Rhythmus;Cardiac Rythm
Herz Vene;Cardiac Vein
Spasmus des kardiovaskulären Systems;Cardio-Vascular System Spasm
Krämpfe des Herz-Kreislaufsystems;Cardio-Vascular System Spasms
Kardiologie;Cardiology
Kardiologie und Herz-Kreislauf-System;Cardiology and Cardiovascular System
Gefäßsklerose;CardioSclerosis
Karies;Caries
Karies 1;Caries 1
Erweichung des Knorpels;Cartilage Softening
Knorpel Erweichung 2;Cartilage Softning
Katarakt;Cataract
Katarakt 2;Cataract 2
Katarrh;Catarrh
Eileiter-Katarrhalische Entzündung;Catarrhal Inflammation of the Fallopian Tubes
Krankheitserreger Ursache;Causative Agent
Causticum;Causticum
Solarplexus;Celiac Plexus
Solarplexus 2;Celiac Plexus2
Zellfrequenz;Cell Frequency
Zellregeneration;Cell Regeneration
Zellerneuerung;Cellular Edema
Zellregeneration;Cellular Edema
Zellen Erneuerung 1;Cellular Edema 1
Zellen Erneuerung 1;Cellular Edema 2
Zellstoffwechsel;Cellular Turnover
Zentrale Lähmung;Central Paralysis
Kreativität Zentrum;Centre of Creativity
Schaffung/Kreativität Zentrum 2;Centre of Creativity 2
Zentrum der Lymphknoten;Centre of Lymphatic Glands
Zentrum Lymphknoten;Centre of Lymphatic Glands-2
Erbrechen Zentrum 1;Centre of Vomiting
Neubildung des Kleinhirns;Cerebellum
Asthenie Gehirn;Cerebral Asthenia
Hirnatrophie;Cerebral Atrophy
Kreislauf Kopf 1;Cerebral Blood Flow 1
Kopfschmerzen Hirngefäße;Cerebral Blood Vessels as a Factor in a Headache
Blutzirkulation Kopf;Cerebral Circulation
Zerebrale Störung;Cerebral Disturbances
Zerebral Dystonie;Cerebral Dystonia
Hirnödem;Cerebral Edema
Cerebral Kopfschmerzen;Cerebral Headache
Zerebrale Kopfschmerzen 2;Cerebral Headache 2
Zerebrale Kopfschmerzen 3;Cerebral Headache 3
Zerebraler Bluthochdruck;Cerebral Hypertension
Hirnnerven;Cerebral Nerves
Cerebrospinalflüssigkeit;Cerebrospinal Fluid Circulation
Rückenmarkslähmung;Cerebrospinal Paralysis
zerebrovaskuläre Insuffizienz;CerebroVascular Insufficiency
Hals-Lendenwirbelsäule Ischias;Cervical and Lumbarsacral Radiculitis
Zentrum Hals;Cervical Centre
Hals-Lendenwirbelsyndrom;Cervical Myositis
Cervical Myositis 2;Cervical Myositis 2
Osteochondrose Hals;Cervical Osteochondrosis
Zervixpolyp;Cervical Polyps
Halswirbelsäule;Cervical Spine
Halswirbelsäule 1;Cervical Spine 1
HWS-Syndrom;Cervical Syndrome
HWS-Syndrom 2;Cervical Syndrome 2
Cervico Lumbalsyndrom;Cervico-Lumbar Syndrome
Cervical Adenom;Cervix Adenoma
Bandwürmer;Cestoid Worms
Helidonium;Chelidonium
Chemische Entgiftung;Chemical Detoxification
Akne auf der Brust;Chest Acne
Windpocken;Chikenpox
Windpocken 1;Chikenpox 1
Chlamydia Allgemeine;Chlamydia
Chlamydien Pneumonie;Chlamydia Pneumoniae
Chlamydia Pneumonie;Chlamydia Pneumoniae
Chlamydien Pneumonie 2;Chlamydia Pneumoniae 2
Chlamydien Pneumonie 3;Chlamydia Pneumoniae 3
Chlamydia Trachomatis;Chlamydia Trachomatis
Cholangioles;Cholangiolitis
Cholangitis 2;Cholangitis
Cholangitis;Cholangitis
Cholecystitis;Cholecystitis
Cholecystitis 2;Cholecystitis 2
Schmerz Cholezystitis;Cholecystitis Pain
Cholecystitis-Schmerzen;Cholecystitis Pain
Gallensteine​​ 1;Cholelithiasis 1
Ohrengeschwulst;Cholesteatoma
Holesterinum;Cholesterinum
Cholesterin;Cholesterol
Cholesterin 2;Cholesterol 2
Cholesterin 3;Cholesterol 3
Cholesterin 4;Cholesterol 4
Cholesterin 5;Cholesterol 5
Cholinerge;Cholinergic
Entzündung der Stimmbänder;Chorditis
Chronische aggressive Hepatitis;Chronic Aggressive Hepatitis
Chronische Bronchitis;Chronic Bronchitis
Chronische Blasenentzündung;Chronic Cystitis
Chronischer Durchfall;Chronic Diarrhea
Chronische Entzündung der Speiseröhre;Chronic Esophagitis
Chronische Müdigkeit;Chronic Fatigue
Chronische Müdigkeit Syndrom;Chronic Fatigue Syndrome
Chronische Vergiftung;Chronic Intoxication
Chronischen Rückenschmerzen;Chronic Low-Back Pain
Chronische Mittelohrentzündung 1;Chronic Otitis 1
Chronische Mittelohrentzündung 2;Chronic Otitis 2
Rheumatische Polyarthritis;Chronic Poly-Arthritis
Chronische Prostatitis;Chronic Prostatitis
Chronische Nasennebenhöhlenentzündung;Chronic Sinusitis
Chronischer Schmerz;Chronic Sorrow
Chronische Halsschmerzen;Chronic Throat Inflammation
Abszesse - Narben;Cicatrix, Abscess
Narbe-Druck;Cicatrix, Pressure
Cimicifuga;Cimicifuga
Durchblutungsstörungen;Circulation Disorder
Kreislaufstörungen 1;Circulation Loss 1
Leberzirrhose;Cirrhosis
Leber-Zirrhose 2;Cirrhosis 2
Samtfleckenkrankheit;Cladosporium Fulvum
Körperreinigung 1;Cleansing 1
Körperreinigung 2;Cleansing 2
Körperreinigung 4;Cleansing 4
Körperreinigung 5;Cleansing 5
Klimakterium Dysmenorrhoe;Climacteric Dysmenorrhea
Klimakterium Bluthochdruck;Climacteric Hypertention
Klimakterium Schwitzen;Climacteric Sweating
Schwitzen Klimakterium;Climacteric Sweating
Muskelzucken;Clonus
Kokainabhängigkeit;Cocaine Dependence
Schnecken Nerven;Cochlear Nerve
Schnecken Nerven 3;Cochlear Nerve 3
Ohr-Schnecke Nerven 2;Cochlear Nerves 2
Glutenunverträglichkeit;Coeliac Disease
Erkältung 2;Cold
Erkältung 1;Cold 1
Erkältung 2;Cold 2
Erkältung-Grippe;Cold and Influenza
Erkältungen;Cold ARVI
Kältegefühl;Cold Sense
Kältegefühl 2;Cold Sense 2
Kältegefühl 3;Cold Sense 3
Kältegefühl 4;Cold Sense 4
Erkältung-Wintergrippe;Cold-Winter Influenza
Kolibazillen;Colibacillus
E. Kolibakterien 1;Colibacillus 1
Kolibazillen als Erreger von Krebs;Colibacillus as a Causative Cancer Agent
Koliken oder Krämpfe;Colics
Schmerzen bei Koliken;Colics and Headache
Colitis / Dickdarmkatarrh;Colitis
Colitis 1;Colitis
Kolitis;Colitis
Dickdarm Kataarh 1;Colitis 1
Dickdarm Kataarh 2;Colitis 2
Dickdarmkataarh 2;Colitis 2
Dickdarm Kataarh 3;Colitis 3
Dickdarm Kataarh 4;Colitis 4
Dickdarm Kataarh 5;Colitis 5
Kolitis und Durchfall;Colitis and Diarrhera
Colitis-Entzündung;Colitis-Inflammation
Zusammenbruch;Collapse
Darmpolypen;Colon Polyps
Polypen im Darm;Colon Polyps
Farben;Colors
Allgemeines Asthma;Common Asthma
Candida Allgemein;Common Candida
Allgemeiner Candida;Common Candida
Kolibazillen Basis;Common Colibacillus
Ohr - allgemeine Probleme;Common Ear Problems
Hepatitis allgemein;Common Hepatitis
Hepatitis allgemein V;Common Hepatitis v
Herkömmliche Nierenentzündung;Common Nephritis
Salmonellen allgemeine;Common Salmonella
Viren allgemeine TR1;Common Viruses TR1
Viren allgemeine TR2;Common Viruses TR2
Kommunikation und Eingebung;Communication and Suggestion
Komplexer Hepatitis C;Complex Hepatitis C
Komplex Muskelstruktur;Comprehensive Muscles Structure
Zahnschmerzen drückende;Compressive Toothache
Konzentration;Concentration
Konzentration 2;Concentration 2
Zentrum Konzentration;Concentration Centre
Warzen;Condyloma
Selbstvertrauen;Confidence
kongestiver Prostatitis;Congestion Prostatitis
Bindehautentzündung;Conjunctivitis
Bindehautentzündung 2;Conjunctivitis 2
Bindehautentzündung 1;Conjunctivitus 1
Bindegewebe;Connective Tissue
Bindegewebe 2;Connective Tissue 2
Bindegewebe 3;Connective Tissue 3
Bindegewebe 4;Connective Tissue 4
Bindegewebe-Frequenzsteuerung 2;Connective Tissue-Control Frequencies
Bindegewebe Steuerfrequenz;Connective Tissue-Control Frequencies
Verstopfung;Constipation
Verstopfung 1;Constipation 1
Verstopfung Darmparese;Constipation due to Intestinal Paresis
Verstopfung-Parese;Constipation-Paresis
Zwang;Constraint
Ansteckende Dermatitis;Contagious Dermatitis
Steuerung Niere / Leber 1;Control Frequencies of Kindeys/Liver 1
Steuerung Niere / Leber 2;Control Frequencies of Kindeys/Liver 2
Prellung;Contusion
Prellungen-Verletzungen;Contusion. Injuries
Krampfhaften Lähmung;Convulsive Paralysis
Krampfanfälle;Convultions
Krampfanfälle 2;Convultions 2
Hornhäute - beidseitig;Cornea
Ischämische Wirkung;Coronarogenic Effect
Koronar-Gefäße;Coronary Vessels
Kosmetologie;Cosmetology
Kosmetologie 1;Cosmetology1
Kosmetologie 2;Cosmetology2
Kosmetologie 3;Cosmetology3
Kosmetologie 4;Cosmetology4
Kosmetologie 5;Cosmetology5
Rippenfell;Costal pleura
Rippenfell 1;Costal Pleura 1
Rippenfell 2;Costal Pleura 2
Husten;Cough
Husten-Impfstoff;Cough-Vaccine
Schwierigkeiten beim Zählen;Counting Difficulty
Tapferkeit;Courage
Hüftarthrose;Cox Arthrosis
Coxsackie-Virus;Coxsackie Virus
Coxsackie-Virus A9;Coxsackie Virus A9
Coxsackie-Virus B1;Coxsackie Virus B1
Coxsackie-Virus B2;Coxsackie Virus B2
Coxsackie-Virus B3;Coxsackie Virus B3
Coxsackie-Virus B4;Coxsackie Virus B4
Coxsackie-Virus B5;Coxsackie Virus B5
Coxsackie-Virus B6;Coxsackie Virus B6
Hirnnerven;Cranial Nerves
Schädel-Hirn Verletzung;Craniocerebral Injury
Zentrum Schaffung 3;Creativity Centre 3
Zervizitis;Crevicitis
Crocus Sotillus;Crocus Sotillus
Morbus Crohn 1;Crohn's Disease 1
Morbus Crohn 2;Crohn's Disease 2
Morbus Crohn 3;Crohn's Disease 3
Morbus Crohn 4;Crohn's Disease 4
Chronische Gallenblasenentzündung;Cronic Cholecystitis
Cryptococcus neoformans;Cryptococcus Neoformans
Kryptorchismus;Cryptorchidism
Akne-Haut 1;Cutaneous Acne 1
Akne-Haut 2;Cutaneous Acne 2
Akne-Haut;Cutaneous Acne 3
Hautbarriere;Cutaneous Barrier
Haut-Zentrum;Cutaneous Centre
Haut Zentrum 1;Cutaneous Centre 1
Haut Zentrum 2;Cutaneous Centre 2
Haut Zentrum 3;Cutaneous Centre 3
Hautgeschwüre;Cutaneous Ulcers
Tsiklospora;Cyclospora
Darm-Zysten;Cyst of the Intestine
Zystische Brustdrüsen;Cystic Breasts
Zystische Brust;Cystic Breasts
Zysten Brustdrüsen 1;Cystic Breasts 1
Blasenentzündung;Cystitis
Blasenentzündung 1;Cystitis 1
Blasenentzündung 2;Cystitis 2
Harnblasenentzündung 2;Cystitis 2
Blasenentzündung 3;Cystitis 3
